2017-08-13 09:30:35.459731 UTC,Logger Initialized
2017-08-13 09:31:45.495587 UTC,1,a5318a42f33b7e
2017-08-13 09:31:45.495803 UTC,2,0e1cb5b4b308c6
2017-08-13 09:31:45.496132 UTC,3,de33eb00a951ad009ade052c8858
2017-08-13 09:31:45.496315 UTC,4,ee7bb7c7b62928
2017-08-13 09:31:45.499869 UTC,5,bcb8adda240270
2017-08-13 09:31:45.500407 UTC,6,196478691ca849
2017-08-13 09:31:45.500506 UTC,7,b2ed421e7ba171
2017-08-13 09:31:45.500564 UTC,8,4e578a83c6d720
2017-08-13 09:31:45.500627 UTC,9,1a9cbd2d56d37b
2017-08-13 09:31:45.511206 UTC,10,8294bf4a1831c6
2017-08-13 09:31:45.511359 UTC,11,d371b322bd20be
2017-08-13 09:31:45.512288 UTC,12,ef2b95d675362320461584510d3c
2017-08-13 09:31:45.512639 UTC,13,be546103f83dd5
2017-08-13 09:31:45.512737 UTC,14,7f885204f28424
2017-08-13 09:31:45.512799 UTC,15,a6cca3253f1455
2017-08-13 09:31:45.512866 UTC,16,6e0337b6119642
2017-08-13 09:31:45.512921 UTC,17,fcbc35d94c8ce6
2017-08-13 09:31:45.512982 UTC,18,255fb757bbfe8cd1e3c46234e181
2017-08-13 09:31:45.513121 UTC,19,75a4bbbd93aae3
2017-08-13 09:31:45.513192 UTC,20,a3d6d568a435af
2017-08-13 09:31:45.515056 UTC,21,09e3278908c867
2017-08-13 09:31:45.515183 UTC,22,c3b396857fd6c3
2017-08-13 09:31:45.515249 UTC,23,952cbf58f5fc201d90e5ca951550
2017-08-13 09:31:45.515302 UTC,24,e2861724a64ca0
2017-08-13 09:31:45.515368 UTC,25,da4e5dba6706f2926ad938e4f3b5
2017-08-13 09:31:45.515431 UTC,26,abac0e0bfba59c
2017-08-13 09:31:45.515484 UTC,27,b7a43cd3688329
2017-08-13 09:31:45.515639 UTC,28,0e8b20b7418238
2017-08-13 09:31:45.515702 UTC,29,39009876505e36
2017-08-13 09:31:45.758993 UTC,30,a5318a42f33b7e
2017-08-13 09:31:45.759155 UTC,31,0e1cb5b4b308c6
2017-08-13 09:31:45.759352 UTC,32,de33eb00a951ad009ade052c8858
2017-08-13 09:31:45.759493 UTC,33,ee7bb7c7b62928
2017-08-13 09:31:45.759637 UTC,34,bcb8adda240270
2017-08-13 09:31:45.759776 UTC,35,196478691ca849
2017-08-13 09:31:45.759908 UTC,36,b2ed421e7ba171
2017-08-13 09:31:45.760093 UTC,37,4e578a83c6d720
2017-08-13 09:31:45.760239 UTC,38,1a9cbd2d56d37b
2017-08-13 09:31:45.760340 UTC,39,8294bf4a1831c6
2017-08-13 09:31:45.760405 UTC,40,d371b322bd20be
2017-08-13 09:31:45.760462 UTC,41,ef2b95d675362320461584510d3c
2017-08-13 09:31:45.760589 UTC,42,be546103f83dd5
2017-08-13 09:31:45.760755 UTC,43,7f885204f28424
2017-08-13 09:31:45.760934 UTC,44,a6cca3253f1455
2017-08-13 09:31:45.761520 UTC,45,6e0337b6119642
