2017-08-13 09:30:13.512478 UTC,Logger Initialized
2017-08-13 09:31:38.984269 UTC,1,84de74e2545d14
2017-08-13 09:31:38.984358 UTC,2,735d8da64f00c6
2017-08-13 09:31:38.984424 UTC,3,c81354cc30b5ec
2017-08-13 09:31:38.984465 UTC,4,fd0a105bac6992
2017-08-13 09:31:38.984530 UTC,5,842a1ab916d7d4
2017-08-13 09:31:38.984619 UTC,6,d31a11cdc0b115
2017-08-13 09:31:38.984690 UTC,7,c86eb398c066e4
2017-08-13 09:31:38.984743 UTC,8,baa28e5a33c9b0
2017-08-13 09:31:38.984782 UTC,9,ccb306c7cd1c32
2017-08-13 09:31:38.984827 UTC,10,64f71a59c3c89b
2017-08-13 09:31:38.984875 UTC,11,8591e25a0c30ee
2017-08-13 09:31:38.984921 UTC,12,0945f45d239c20ab98784362e975
2017-08-13 09:31:38.984964 UTC,13,09fb1ee199fced209ce6d50f41c7
2017-08-13 09:31:38.985013 UTC,14,fb1707b7219fb8
2017-08-13 09:31:38.985049 UTC,15,f2471593439b55
2017-08-13 09:31:38.985092 UTC,16,a24bc95053acb0847e6ba17a53d7
2017-08-13 09:31:38.985128 UTC,17,225b2f20451676dd90f738fe7b7b
2017-08-13 09:31:38.985225 UTC,18,bfd7933ead9a6a131df7c4146608
2017-08-13 09:31:38.985291 UTC,19,4701d31db68c1b
2017-08-13 09:31:38.985334 UTC,20,acd6b21250072b
2017-08-13 09:31:38.985379 UTC,21,385fc719f011f2
2017-08-13 09:31:38.985421 UTC,22,aab2cdfb9e730610bc13e78fb32c
2017-08-13 09:31:38.985469 UTC,23,f01911aca9a39b
2017-08-13 09:31:38.985543 UTC,24,07cee6c94fb082
2017-08-13 09:31:38.985585 UTC,25,84c719e892a1985d981b45fc9bb1
2017-08-13 09:31:38.985628 UTC,26,b6e21bbd9a6541
2017-08-13 09:31:39.031998 UTC,27,84de74e2545d14
2017-08-13 09:31:39.032094 UTC,28,735d8da64f00c6
2017-08-13 09:31:39.032173 UTC,29,c81354cc30b5ec
2017-08-13 09:31:39.032217 UTC,30,fd0a105bac6992
2017-08-13 09:31:39.032276 UTC,31,842a1ab916d7d4
2017-08-13 09:31:39.032375 UTC,32,d31a11cdc0b115
2017-08-13 09:31:39.032424 UTC,33,c86eb398c066e4
2017-08-13 09:31:39.032472 UTC,34,baa28e5a33c9b0
2017-08-13 09:31:39.032533 UTC,35,ccb306c7cd1c32
2017-08-13 09:31:39.032576 UTC,36,64f71a59c3c89b
2017-08-13 09:31:39.032628 UTC,37,8591e25a0c30ee
2017-08-13 09:31:39.032700 UTC,38,0945f45d239c20ab98784362e975
2017-08-13 09:31:39.032740 UTC,39,09fb1ee199fced209ce6d50f41c7
2017-08-13 09:31:39.032785 UTC,40,fb1707b7219fb8
2017-08-13 09:31:39.032848 UTC,41,f2471593439b55
2017-08-13 09:31:39.032928 UTC,42,a24bc95053acb0847e6ba17a53d7
2017-08-13 09:31:39.032971 UTC,43,225b2f20451676dd90f738fe7b7b
2017-08-13 09:31:39.033021 UTC,44,bfd7933ead9a6a131df7c4146608
2017-08-13 09:31:39.033068 UTC,45,4701d31db68c1b
2017-08-13 09:31:39.033119 UTC,46,acd6b21250072b
2017-08-13 09:31:39.033165 UTC,47,385fc719f011f2
2017-08-13 09:31:39.033212 UTC,48,aab2cdfb9e730610bc13e78fb32c
2017-08-13 09:31:39.033265 UTC,49,f01911aca9a39b
2017-08-13 09:31:39.033425 UTC,50,07cee6c94fb082
2017-08-13 09:31:39.033467 UTC,51,84c719e892a1985d981b45fc9bb1
2017-08-13 09:31:39.033495 UTC,52,b6e21bbd9a6541
2017-08-13 09:31:39.080244 UTC,53,84de74e2545d14
2017-08-13 09:31:39.080316 UTC,54,735d8da64f00c6
2017-08-13 09:31:39.080370 UTC,55,c81354cc30b5ec
2017-08-13 09:31:39.080422 UTC,56,fd0a105bac6992
2017-08-13 09:31:39.080465 UTC,57,842a1ab916d7d4
2017-08-13 09:31:39.080546 UTC,58,d31a11cdc0b115
2017-08-13 09:31:39.080591 UTC,59,c86eb398c066e4
2017-08-13 09:31:39.080652 UTC,60,baa28e5a33c9b0
2017-08-13 09:31:39.080707 UTC,61,ccb306c7cd1c32
2017-08-13 09:31:39.080757 UTC,62,64f71a59c3c89b
2017-08-13 09:31:39.080816 UTC,63,8591e25a0c30ee
2017-08-13 09:31:39.080869 UTC,64,0945f45d239c20ab98784362e975
2017-08-13 09:31:39.080929 UTC,65,09fb1ee199fced209ce6d50f41c7
2017-08-13 09:31:39.081039 UTC,66,fb1707b7219fb8
2017-08-13 09:31:39.081112 UTC,67,f2471593439b55
2017-08-13 09:31:39.081161 UTC,68,a24bc95053acb0847e6ba17a53d7
2017-08-13 09:31:39.081204 UTC,69,225b2f20451676dd90f738fe7b7b
2017-08-13 09:31:39.081248 UTC,70,bfd7933ead9a6a131df7c4146608
2017-08-13 09:31:39.081321 UTC,71,4701d31db68c1b
2017-08-13 09:31:39.081372 UTC,72,acd6b21250072b
2017-08-13 09:31:39.081416 UTC,73,385fc719f011f2
2017-08-13 09:31:39.081477 UTC,74,aab2cdfb9e730610bc13e78fb32c
2017-08-13 09:31:39.081525 UTC,75,f01911aca9a39b
2017-08-13 09:31:39.081569 UTC,76,07cee6c94fb082
2017-08-13 09:31:39.081614 UTC,77,84c719e892a1985d981b45fc9bb1
2017-08-13 09:31:39.081658 UTC,78,b6e21bbd9a6541
2017-08-13 09:31:39.127720 UTC,79,84de74e2545d14
2017-08-13 09:31:39.127818 UTC,80,735d8da64f00c6
2017-08-13 09:31:39.127871 UTC,81,c81354cc30b5ec
2017-08-13 09:31:39.127915 UTC,82,fd0a105bac6992
2017-08-13 09:31:39.127957 UTC,83,842a1ab916d7d4
2017-08-13 09:31:39.127998 UTC,84,d31a11cdc0b115
2017-08-13 09:31:39.128092 UTC,85,c86eb398c066e4
2017-08-13 09:31:39.128133 UTC,86,baa28e5a33c9b0
2017-08-13 09:31:39.128170 UTC,87,ccb306c7cd1c32
2017-08-13 09:31:39.128215 UTC,88,64f71a59c3c89b
2017-08-13 09:31:39.128269 UTC,89,8591e25a0c30ee
2017-08-13 09:31:39.128333 UTC,90,0945f45d239c20ab98784362e975
2017-08-13 09:31:39.128374 UTC,91,09fb1ee199fced209ce6d50f41c7
2017-08-13 09:31:39.128402 UTC,92,fb1707b7219fb8
2017-08-13 09:31:39.128428 UTC,93,f2471593439b55
2017-08-13 09:31:39.128494 UTC,94,a24bc95053acb0847e6ba17a53d7
2017-08-13 09:31:39.128555 UTC,95,225b2f20451676dd90f738fe7b7b
2017-08-13 09:31:39.128602 UTC,96,bfd7933ead9a6a131df7c4146608
2017-08-13 09:31:39.128662 UTC,97,4701d31db68c1b
2017-08-13 09:31:39.128717 UTC,98,acd6b21250072b
2017-08-13 09:31:39.128770 UTC,99,385fc719f011f2
2017-08-13 09:31:39.128821 UTC,100,aab2cdfb9e730610bc13e78fb32c
2017-08-13 09:31:39.128864 UTC,101,f01911aca9a39b
2017-08-13 09:31:39.128905 UTC,102,07cee6c94fb082
2017-08-13 09:31:39.128940 UTC,103,84c719e892a1985d981b45fc9bb1
2017-08-13 09:31:39.128995 UTC,104,b6e21bbd9a6541
2017-08-13 09:31:39.175972 UTC,105,84de74e2545d14
2017-08-13 09:31:39.176042 UTC,106,735d8da64f00c6
2017-08-13 09:31:39.176107 UTC,107,c81354cc30b5ec
2017-08-13 09:31:39.176150 UTC,108,fd0a105bac6992
2017-08-13 09:31:39.176197 UTC,109,842a1ab916d7d4
2017-08-13 09:31:39.176238 UTC,110,d31a11cdc0b115
2017-08-13 09:31:39.176294 UTC,111,c86eb398c066e4
2017-08-13 09:31:39.176368 UTC,112,baa28e5a33c9b0
2017-08-13 09:31:39.176424 UTC,113,ccb306c7cd1c32
2017-08-13 09:31:39.176472 UTC,114,64f71a59c3c89b
2017-08-13 09:31:39.176549 UTC,115,8591e25a0c30ee
